Temporada,Minutos,Rebotes,Assistencias,Bloqueios,Desarmes,Faltas,Tunovers,Pontos,FG_Tentativas,FG_Acertos,3PT_Tentativas,3PT_Acertos,FT_Tentativas,FT_Acertos,Adversario,Conferencia,Placar_Denver,Placar_Adversario,V_D,Casa_Fora,Dia_semana,Mes,%FG,%3PT,%FT
2016,35.0,13.0,5.0,0.0,0.0,3.0,2.0,18.0,10,7,2,1,3,3,POR,Oeste,99,107,D,fora,3,4,0.7,0.5,1.0
2016,36.0,11.0,4.0,1.0,2.0,4.0,1.0,19.0,9,7,2,0,6,5,UTAH,Oeste,84,100,D,casa,6,4,0.78,0.0,0.83
2016,32.0,15.0,4.0,1.0,1.0,2.0,0.0,8.0,9,3,2,0,2,2,SA,Oeste,102,98,V,casa,5,4,0.33,0.0,1.0
2016,19.0,2.0,2.0,2.0,0.0,2.0,0.0,7.0,5,3,3,1,0,0,OKC,Oeste,102,124,D,casa,2,4,0.6,0.33,
2016,32.0,13.0,5.0,2.0,1.0,2.0,0.0,6.0,6,2,1,0,2,2,SAC,Oeste,106,115,D,casa,6,4,0.33,0.0,1.0
2016,23.0,8.0,3.0,1.0,1.0,1.0,1.0,9.0,7,4,3,1,0,0,NO,Oeste,95,101,D,fora,4,4,0.57,0.33,
2016,29.0,14.0,1.0,1.0,0.0,5.0,1.0,9.0,6,4,1,1,0,0,MEM,Oeste,109,105,V,fora,3,3,0.67,1.0,
2016,24.0,8.0,2.0,0.0,2.0,2.0,3.0,2.0,7,1,2,0,0,0,DAL,Oeste,88,97,D,casa,1,3,0.14,0.0,
2016,21.0,9.0,2.0,0.0,1.0,1.0,0.0,5.0,7,2,1,0,2,1,LAC,Oeste,90,105,D,fora,6,3,0.29,0.0,0.5
2016,22.0,12.0,4.0,0.0,0.0,3.0,1.0,8.0,9,4,2,0,0,0,LAL,Oeste,116,105,V,fora,5,3,0.44,0.0,
2016,27.0,8.0,5.0,0.0,1.0,1.0,1.0,18.0,6,5,0,0,12,8,PHI,Leste,104,103,V,casa,3,3,0.83,,0.67
2016,23.0,4.0,3.0,0.0,3.0,2.0,2.0,11.0,12,4,1,0,3,3,CLE,Leste,91,124,D,fora,0,3,0.33,0.0,1.0
2016,25.0,14.0,4.0,1.0,0.0,6.0,1.0,11.0,16,5,2,1,0,0,CHA,Leste,101,93,V,fora,5,3,0.31,0.5,
2016,22.0,5.0,2.0,1.0,1.0,2.0,1.0,8.0,7,4,1,0,0,0,ATL,Leste,98,116,D,fora,4,3,0.57,0.0,
2016,25.0,6.0,4.0,1.0,1.0,3.0,2.0,14.0,8,5,1,1,3,3,ORL,Leste,110,116,D,fora,1,3,0.62,1.0,1.0
2016,28.0,8.0,4.0,1.0,2.0,2.0,1.0,12.0,10,5,2,1,2,1,MIA,Leste,119,124,D,fora,0,3,0.5,0.5,0.5
2016,17.0,5.0,3.0,0.0,0.0,4.0,2.0,0.0,0,0,0,0,0,0,WSH,Leste,116,100,V,casa,6,3,,,
2016,27.0,10.0,4.0,3.0,2.0,4.0,0.0,18.0,8,6,2,1,5,5,PHX,Oeste,116,98,V,casa,4,3,0.75,0.5,1.0
2016,34.0,9.0,3.0,1.0,1.0,0.0,1.0,20.0,20,9,1,0,4,2,NY,Leste,110,94,V,casa,2,3,0.45,0.0,0.5
2016,21.0,12.0,3.0,1.0,2.0,4.0,3.0,13.0,11,4,2,0,5,5,DAL,Oeste,116,114,V,casa,6,3,0.36,0.0,1.0
2016,34.0,12.0,4.0,1.0,1.0,5.0,2.0,15.0,14,6,2,0,3,3,BKN,Leste,120,121,D,casa,5,3,0.43,0.0,1.0
2016,28.0,6.0,3.0,2.0,0.0,5.0,1.0,14.0,8,3,2,1,8,7,LAL,Oeste,117,107,V,casa,3,3,0.38,0.5,0.88
2016,19.0,6.0,3.0,1.0,1.0,2.0,3.0,10.0,4,3,0,0,4,4,MEM,Oeste,96,103,D,casa,1,3,0.75,,1.0
2016,11.0,4.0,2.0,0.0,0.0,3.0,1.0,5.0,4,2,0,0,2,1,DAL,Oeste,116,122,D,fora,5,2,0.5,,0.5
2016,26.0,11.0,3.0,1.0,1.0,2.0,3.0,7.0,9,3,4,1,0,0,LAC,Oeste,87,81,V,fora,3,2,0.33,0.25,
2016,20.0,13.0,6.0,0.0,2.0,5.0,2.0,13.0,8,4,2,1,4,4,SAC,Oeste,110,114,D,casa,2,2,0.5,0.5,1.0
2016,30.0,13.0,4.0,0.0,2.0,4.0,4.0,23.0,15,10,2,1,2,2,BOS,Leste,101,121,D,casa,6,2,0.67,0.5,1.0
2016,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,0,0,0,0,SAC,Oeste,110,116,D,fora,5,2,,,
2016,25.0,6.0,2.0,0.0,1.0,0.0,1.0,5.0,7,2,1,0,1,1,DET,Leste,103,92,V,fora,3,2,0.29,0.0,1.0
2016,14.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,5,1,1,0,0,0,BKN,Leste,104,105,D,fora,1,2,0.2,0.0,
2016,19.0,6.0,0.0,0.0,1.0,3.0,1.0,13.0,9,4,1,1,4,4,NY,Leste,101,96,V,fora,6,2,0.44,1.0,1.0
2016,26.0,12.0,3.0,2.0,0.0,6.0,1.0,16.0,14,6,2,2,2,2,CHI,Leste,115,110,V,casa,5,2,0.43,1.0,1.0
2016,29.0,6.0,4.0,0.0,2.0,5.0,0.0,8.0,9,3,2,1,2,1,UTAH,Oeste,81,85,D,fora,3,2,0.33,0.5,0.5
2016,30.0,14.0,4.0,1.0,0.0,3.0,2.0,27.0,18,12,3,1,4,2,TOR,Leste,112,93,V,casa,1,2,0.67,0.33,0.5
2016,35.0,11.0,2.0,0.0,5.0,4.0,3.0,16.0,15,7,2,1,1,1,IND,Leste,105,109,D,fora,6,1,0.47,0.5,1.0
2016,25.0,10.0,3.0,1.0,1.0,5.0,0.0,15.0,12,7,1,0,3,1,WSH,Leste,117,113,V,fora,4,1,0.58,0.0,0.33
2016,19.0,7.0,4.0,1.0,1.0,2.0,3.0,3.0,6,1,0,0,2,1,BOS,Leste,103,111,D,fora,3,1,0.17,,0.5
2016,18.0,10.0,3.0,1.0,2.0,2.0,0.0,15.0,7,5,1,0,6,5,ATL,Leste,105,119,D,casa,1,1,0.71,0.0,0.83
2016,32.0,5.0,3.0,3.0,2.0,3.0,0.0,17.0,11,7,1,1,2,2,DET,Leste,104,101,V,casa,6,1,0.64,1.0,1.0
2016,14.0,2.0,2.0,0.0,2.0,3.0,0.0,9.0,3,2,0,0,5,5,MEM,Oeste,101,102,D,casa,4,1,0.67,,1.0
