Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2016,Qui 14/4,emPOR,D107-99,35.0,7-10,70.0,1-2,50.0,3-3,100.0,13.0,5.0,0.0,0.0,3.0,2.0,18.0,
2016,Dom 10/4,xUTAH,D100-84,36.0,7-9,77.8,0-2,0.0,5-6,83.3,11.0,4.0,1.0,2.0,4.0,1.0,19.0,
2016,Sáb 9/4,xSA,V102-98,32.0,3-9,33.3,0-2,0.0,2-2,100.0,15.0,4.0,1.0,1.0,2.0,0.0,8.0,
2016,Qua 6/4,xOKC,D124-102,19.0,3-5,60.0,1-3,33.3,0-0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,7.0,
2016,Dom 3/4,xSAC,D115-106,32.0,2-6,33.3,0-1,0.0,2-2,100.0,13.0,5.0,2.0,1.0,2.0,0.0,6.0,
2016,april,april,april,30.8,4.4-7.8,56.4,0.4-2.0,20.0,2.4-2.6,92.3,10.8,4.0,1.2,0.8,2.6,0.6,11.6,
2016,Sex 1/4,emNO,D101-95,23.0,4-7,57.1,1-3,33.3,0-0,0.0,8.0,3.0,1.0,1.0,1.0,1.0,9.0,
2016,Qui 31/3,emMEM,V109-105,29.0,4-6,66.7,1-1,100.0,0-0,0.0,14.0,1.0,1.0,0.0,5.0,1.0,9.0,
2016,Ter 29/3,xDAL,D97-88,24.0,1-7,14.3,0-2,0.0,0-0,0.0,8.0,2.0,0.0,2.0,2.0,3.0,2.0,
2016,Dom 27/3,emLAC,D105-90,21.0,2-7,28.6,0-1,0.0,1-2,50.0,9.0,2.0,0.0,1.0,1.0,0.0,5.0,
2016,Sáb 26/3,emLAL,V116-105,22.0,4-9,44.4,0-2,0.0,0-0,0.0,12.0,4.0,0.0,0.0,3.0,1.0,8.0,
2016,Qui 24/3,xPHI,V104-103,27.0,5-6,83.3,0-0,0.0,8-12,66.7,8.0,5.0,0.0,1.0,1.0,1.0,18.0,
2016,Seg 21/3,emCLE,D124-91,23.0,4-12,33.3,0-1,0.0,3-3,100.0,4.0,3.0,0.0,3.0,2.0,2.0,11.0,
2016,Sáb 19/3,emCHA,V101-93,25.0,5-16,31.3,1-2,50.0,0-0,0.0,14.0,4.0,1.0,0.0,6.0,1.0,11.0,
2016,Sex 18/3,emATL,D116-98,22.0,4-7,57.1,0-1,0.0,0-0,0.0,5.0,2.0,1.0,1.0,2.0,1.0,8.0,
2016,Ter 15/3,emORL,D116-110,25.0,5-8,62.5,1-1,100.0,3-3,100.0,6.0,4.0,1.0,1.0,3.0,2.0,14.0,
2016,Seg 14/3,emMIA,D124-119,28.0,5-10,50.0,1-2,50.0,1-2,50.0,8.0,4.0,1.0,2.0,2.0,1.0,12.0,
2016,Dom 13/3,xWSH,V116-100,17.0,0-0,0.0,0-0,0.0,0-0,0.0,5.0,3.0,0.0,0.0,4.0,2.0,0.0,
2016,Sex 11/3,xPHX,V116-98,27.0,6-8,75.0,1-2,50.0,5-5,100.0,10.0,4.0,3.0,2.0,4.0,0.0,18.0,
2016,Qua 9/3,xNY,V110-94,34.0,9-20,45.0,0-1,0.0,2-4,50.0,9.0,3.0,1.0,1.0,0.0,1.0,20.0,
2016,Dom 6/3,xDAL,V116-114 TE,21.0,4-11,36.4,0-2,0.0,5-5,100.0,12.0,3.0,1.0,2.0,4.0,3.0,13.0,
2016,Sáb 5/3,xBKN,D121-120 TE,34.0,6-14,42.9,0-2,0.0,3-3,100.0,12.0,4.0,1.0,1.0,5.0,2.0,15.0,
2016,Qui 3/3,xLAL,V117-107,28.0,3-8,37.5,1-2,50.0,7-8,87.5,6.0,3.0,2.0,0.0,5.0,1.0,14.0,
2016,march,march,march,25.2,4.2-9.2,45.5,0.4-1.5,28.0,2.2-2.8,80.9,8.8,3.2,0.8,1.1,2.9,1.4,11.0,
2016,Ter 1/3,xMEM,D103-96,19.0,3-4,75.0,0-0,0.0,4-4,100.0,6.0,3.0,1.0,1.0,2.0,3.0,10.0,
2016,Sáb 27/2,emDAL,D122-116 TE,11.0,2-4,50.0,0-0,0.0,1-2,50.0,4.0,2.0,0.0,0.0,3.0,1.0,5.0,
2016,Qui 25/2,emLAC,V87-81,26.0,3-9,33.3,1-4,25.0,0-0,0.0,11.0,3.0,1.0,1.0,2.0,3.0,7.0,
2016,Qua 24/2,xSAC,D114-110,20.0,4-8,50.0,1-2,50.0,4-4,100.0,13.0,6.0,0.0,2.0,5.0,2.0,13.0,
2016,Dom 21/2,xBOS,D121-101,30.0,10-15,66.7,1-2,50.0,2-2,100.0,13.0,4.0,0.0,2.0,4.0,4.0,23.0,
2016,Sáb 20/2,emSAC,D116-110,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,
2016,Qui 11/2,emDET,V103-92,25.0,2-7,28.6,0-1,0.0,1-1,100.0,6.0,2.0,0.0,1.0,0.0,1.0,5.0,
2016,Ter 9/2,emBKN,D105-104,14.0,1-5,20.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,
2016,Dom 7/2,emNY,V101-96,19.0,4-9,44.4,1-1,100.0,4-4,100.0,6.0,0.0,0.0,1.0,3.0,1.0,13.0,
2016,Sáb 6/2,xCHI,V115-110,26.0,6-14,42.9,2-2,100.0,2-2,100.0,12.0,3.0,2.0,0.0,6.0,1.0,16.0,
2016,Qui 4/2,emUTAH,D85-81,29.0,3-9,33.3,1-2,50.0,1-2,50.0,6.0,4.0,0.0,2.0,5.0,0.0,8.0,
2016,Ter 2/2,xTOR,V112-93,30.0,12-18,66.7,1-3,33.3,2-4,50.0,14.0,4.0,1.0,0.0,3.0,2.0,27.0,
2016,february,february,february,21.0,4.2-8.5,49.0,0.7-1.5,44.4,1.8-2.1,84.0,7.9,2.6,0.4,0.9,3.3,1.7,10.8,
2016,Dom 31/1,emIND,D109-105 TE,35.0,7-15,46.7,1-2,50.0,1-1,100.0,11.0,2.0,0.0,5.0,4.0,3.0,16.0,
2016,Sex 29/1,emWSH,V117-113,25.0,7-12,58.3,0-1,0.0,1-3,33.3,10.0,3.0,1.0,1.0,5.0,0.0,15.0,
2016,Qui 28/1,emBOS,D111-103,19.0,1-6,16.7,0-0,0.0,1-2,50.0,7.0,4.0,1.0,1.0,2.0,3.0,3.0,
2016,Ter 26/1,xATL,D119-105,18.0,5-7,71.4,0-1,0.0,5-6,83.3,10.0,3.0,1.0,2.0,2.0,0.0,15.0,
2016,Dom 24/1,xDET,V104-101,32.0,7-11,63.6,1-1,100.0,2-2,100.0,5.0,3.0,3.0,2.0,3.0,0.0,17.0,
2016,Sex 22/1,xMEM,D102-101,14.0,2-3,66.7,0-0,0.0,5-5,100.0,2.0,2.0,0.0,2.0,3.0,0.0,9.0,
2016,Qua 20/1,xOKC,D110-104,19.0,2-4,50.0,0-1,0.0,2-2,100.0,3.0,1.0,0.0,1.0,2.0,1.0,6.0,
2016,Seg 18/1,xIND,V129-126,24.0,6-11,54.5,1-3,33.3,5-6,83.3,2.0,3.0,0.0,4.0,2.0,1.0,18.0,
2016,Sáb 16/1,xMIA,D98-95,18.0,4-7,57.1,0-0,0.0,1-1,100.0,6.0,5.0,1.0,0.0,2.0,1.0,9.0,
2016,Qui 14/1,xGS,V112-110,16.0,3-6,50.0,0-1,0.0,0-0,0.0,7.0,2.0,0.0,3.0,4.0,1.0,6.0,
2016,Seg 11/1,xCHA,V95-92,23.0,2-4,50.0,0-1,0.0,0-0,0.0,7.0,9.0,1.0,0.0,1.0,1.0,4.0,
2016,Sáb 9/1,emMEM,D91-84,19.0,4-4,100.0,1-1,100.0,0-0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,9.0,
2016,Qui 7/1,emMIN,V78-74,26.0,2-5,40.0,0-1,0.0,0-0,0.0,5.0,3.0,0.0,0.0,1.0,2.0,4.0,
2016,Seg 4/1,xPOR,D112-106,22.0,3-7,42.9,0-1,0.0,3-4,75.0,10.0,2.0,1.0,2.0,5.0,2.0,9.0,
2016,Dom 3/1,emGS,D111-108 TE,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,
2016,january,january,january,21.0,3.7-6.8,53.9,0.3-0.9,28.6,1.7-2.1,81.3,6.1,2.9,0.6,1.5,2.7,1.2,9.3,
2016,Qui 31/12,emPOR,D110-103,18.0,3-6,50.0,0-0,0.0,4-4,100.0,6.0,1.0,2.0,0.0,0.0,2.0,10.0,
2016,Qua 30/12,xCLE,D93-87,22.0,4-11,36.4,0-0,0.0,2-3,66.7,7.0,1.0,1.0,1.0,6.0,2.0,10.0,
2016,Seg 28/12,emOKC,D122-112,17.0,3-7,42.9,1-1,100.0,0-0,0.0,3.0,2.0,0.0,1.0,4.0,2.0,7.0,
2016,Dom 27/12,emSA,D101-86,26.0,10-19,52.6,1-2,50.0,1-2,50.0,7.0,5.0,1.0,1.0,4.0,3.0,22.0,
2016,Qui 24/12,emPHX,V104-96,22.0,5-7,71.4,1-2,50.0,2-2,100.0,9.0,2.0,0.0,1.0,3.0,2.0,13.0,
